,V,I,SOC
329,3.743025,2.49907,0.4872684287401988
330,3.74628,2.49907,0.4874114289097561
331,3.749225,2.49907,0.48755026504731236
332,3.752015,2.5,0.48768910118486913
333,3.754495,2.49907,0.4878279879036187
334,3.684896,0.0,0.487966825125841
335,3.681331,0.0,0.487966825125841
336,3.679935,0.0,0.487966825125841
337,3.67916,0.0,0.487966825125841
338,3.678695,0.0,0.487966825125841
339,3.678385,0.0,0.487966825125841
340,3.678075,0.0,0.487966825125841
341,3.67792,0.0,0.487966825125841
342,3.67792,0.0,0.487966825125841
343,3.67792,0.0,0.487966825125841
344,3.67792,0.0,0.487966825125841
345,3.67792,0.0,0.487966825125841
346,3.67792,0.0,0.487966825125841
347,3.678075,0.0,0.487966825125841
348,3.678231,0.0,0.487966825125841
349,3.678231,0.0,0.487966825125841
350,3.678385,0.0,0.487966825125841
351,3.67854,0.0,0.487966825125841
352,3.67854,0.0,0.487966825125841
353,3.678695,0.0,0.487966825125841
354,3.67885,0.0,0.487966825125841
355,3.679005,0.0,0.487966825125841
356,3.67916,0.0,0.487966825125841
357,3.679316,0.0,0.487966825125841
358,3.679316,0.0,0.487966825125841
359,3.679471,0.0,0.487966825125841
360,3.679626,0.0,0.487966825125841
361,3.67978,0.0,0.487966825125841
362,3.679935,0.0,0.487966825125841
363,3.68009,0.0,0.487966825125841
364,3.680246,0.0,0.487966825125841
365,3.680246,0.0,0.487966825125841
366,3.680401,0.0,0.487966825125841
367,3.680556,0.0,0.487966825125841
368,3.680711,0.0,0.487966825125841
369,3.680866,0.0,0.487966825125841
370,3.680866,0.0,0.487966825125841
371,3.68102,0.0,0.487966825125841
372,3.681176,0.0,0.487966825125841
373,3.681331,0.0,0.487966825125841
374,3.681486,0.0,0.487966825125841
375,3.681486,0.0,0.487966825125841
376,3.681641,0.0,0.487966825125841
377,3.681796,0.0,0.487966825125841
378,3.681796,0.0,0.487966825125841
379,3.681951,0.0,0.487966825125841
380,3.682106,0.0,0.487966825125841
381,3.682106,0.0,0.487966825125841
382,3.682261,0.0,0.487966825125841
383,3.682416,0.0,0.487966825125841
384,3.682571,0.0,0.487966825125841
385,3.682571,0.0,0.487966825125841
386,3.682726,0.0,0.487966825125841
387,3.682726,0.0,0.487966825125841
388,3.682881,0.0,0.487966825125841
389,3.682881,0.0,0.487966825125841
390,3.683036,0.0,0.487966825125841
391,3.683191,0.0,0.487966825125841
392,3.683191,0.0,0.487966825125841
393,3.683346,0.0,0.487966825125841
394,3.683346,0.0,0.487966825125841
395,3.66583,-0.62314,0.487966825125841
396,3.664279,-0.62407,0.487966825125841
397,3.663349,-0.625,0.48793250235929586
398,3.66273,-0.62407,0.48789778040834103
399,3.662109,-0.62314,0.48786207054870995
400,3.661644,-0.62407,0.48782745165982105
401,3.661179,-0.62407,0.48779278137512916
402,3.660714,-0.62407,0.48775845562908327
403,3.660249,-0.62407,0.4877237850735277
404,3.659939,-0.62407,0.4876891147888358
405,3.659629,-0.62407,0.48765444477500763
406,3.659319,-0.62407,0.4876197744903159
407,3.659009,-0.62314,0.48758510393476034
408,3.658699,-0.62407,0.48755082934153987
409,3.658389,-0.62407,0.487516159056848
410,3.658234,-0.62407,0.4874814887721561
411,3.657924,-0.625,0.4874468182166005
412,3.657769,-0.62407,0.48741209626564574
413,3.657459,-0.62407,0.48737742598095385
414,3.657304,-0.62407,0.48734310321440866
415,3.656994,-0.62407,0.48730843292971693
416,3.656839,-0.62407,0.48727376237416137
417,3.656684,-0.62314,0.48723909208946947
418,3.656374,-0.62407,0.48720343247023334
419,3.656219,-0.62407,0.4871687621855415
420,3.656064,-0.62407,0.4871344391481326
421,3.655909,-0.62407,0.4870997688634409
422,3.655754,-0.62407,0.4870650988496127
423,3.655599,-0.62407,0.48703042856492085
424,3.638083,-1.24907,0.48699575800936545
425,3.636378,-1.24907,0.48699575800936545
426,3.635293,-1.25,0.4869270553644478
427,3.634363,-1.25,0.48685761146253803
428,3.633588,-1.24907,0.4867881670180935
429,3.632813,-1.25,0.48671739017967786
430,3.632037,-1.24907,0.4866479397673514
431,3.631418,-1.24907,0.4865785469895737
432,3.630952,-1.25,0.48650915475392686
433,3.630332,-1.24907,0.486439711394552
434,3.629867,-1.24907,0.48637031915890516
435,3.629247,-1.24907,0.4863016219352986
436,3.628782,-1.24814,0.4862322296996517
437,3.681176,0.62314,0.48616288858854056
438,3.685516,0.62407,0.48616288858854056
439,3.687841,0.62407,0.4861979061205153
440,3.689701,0.62407,0.48623257667607084
441,3.691251,0.62407,0.48626690242211695
442,3.692646,0.62407,0.4863015727068086
443,3.693887,0.62407,0.48633624326236424
444,3.694972,0.625,0.4863709135470561
445,3.696057,0.62407,0.4864056354980109
446,3.67885,0.0,0.4864413450867783
